year	author	title	citations	social_network	sample_size	sample_country	study_type	variables	cites
2010	Potzch et al	Privacy-Awareness Information for Web Forums: Results from an Empirical Study	7	Forums	327	"Austria,Germany"	experimental	"privacy awareness information,perceived privacy,perceived informedness,numeric vs textual privacy information,knowledge,linkability,reasons for use,"	"ACQUISTI & Gross 2006,ACQUISTI & Grossklags 2005,BURGER 2009,CUTLER 1995,Boyd 2007,EBERSBACH et al 2008,ECKERSLEY 2010,GROSS et al 2005,JOINSON 2001,KOYANI et al 2004,NIELSEN 2006,NORBERG et al 2007,Potzch & Borcea-Pfitzmann et al 2010,SIMON 1997,SPIEKERMANN et al 2001,SPROULL & Kiesler 1986,STRATER & Lipford 2008,STRATER & Richter 2007,STUTZMAN & Duffield 2010,TVERSKY & Kahneman 1974,WEISBAND & Kiesler 1996"
2011	Reynolds et al	Sharing Ephemeral Information in Online Social Networks: Privacy Perceptions and Behaviours	43	Facebook	103	Not specified	"correlational, confirmatory"	"privacy attitudes,privacy behavior,age,gender"	"Acquisti & Gross 2006,Altman 1977,Baarkhus & Tashiro 2010,Bellotti & Sellen 1993,Boyd 2008,Boyd 2008,Boyd & Hargittai 2010,Debatin et al 2009,DiMicco & Millen 2009,Goffman 1959,Gross & Acquisti 2005,Hoofnagle et al 2010,Joinson 1027,Kostakos 2005,Kostakos 2009,Kostakos et al 2005,Kostakos & Venkatanathan 2010,Lenhart 2009,Lewis et al 2008,Norberg et al 2007,Palen & Dourish 2003,Patterson et al 2008,Stuntzman & Kramer-Duffield 2010,Tufekci 2008,Wellman & Wortley 1990"
2012	Staddon et al	Are privacy concerns a turn-off? Engagement and privacy in social networks	62	Facebook	1075	US	"correlational, exploratory"	"privacy concern,information control,sharing behavior,sharing comprehension"	"Acquisti & Gross 2006,Brandimarte et al 2010,Boyd & Hargittai 2010,Burke et al 2009,Chaudhuri 2010,Cluley 2010,Debatin et al 2009,Gosling et al 1998,Gross & Acquisti 2005,Kumaraguru & Cranor 2005,Lenhart 2012,Lewis et al 2008,Madden 2012,Margulis 2005,Nishioka et al 2012,Palen & Dourish 2003,Porter & Donthu 2007,Rainie et al 2012,Ridings et al 2002,Sheehan 2002,Stutzman et al 2011,Stutzman & Kramer-Duffield 2010,Turow et al 2009,Vazire et al 2008,Wang et al 2011,Yao et al 2007"
2016	Steijn et al	Why concern regarding privacy differs: The influence of age and (non-)participation on Facebook	5	Generic	1720	Netherlands	"correlational, confirmatory"	"use,age,risk-benefit balance,privacy conception,privacy concern"	"Acquisti & Gross 2006,Andrews 2012,Baek et al 2014,Beldad et al 2011,Boneva et al 2006,boyd 2008,boyd & Marwick 2011,Bukatko 2008,Diamantopoulos & Siguaw 2000,Dienlin & Trepte 2015,Dinev & Hart 2006,Ellison et al 2007,Fox et al 2000,Furby & Beyth-Marom 1992,Grimmelmann 2009,Hayes & Preacher 2014,Hoofnagle et al 2010,Kelloway 1998,Kim & Lee 2011,Kline 2005,Krasnova et al 2010,Krasnova & Veltri 2012,Lee et al 2013,Levy 2009,Madden & Smith 2010,Marwick & boyd 2011,Marwick et al 2010,Mesch & Talmud 2010,Mohamed & Ahmad 2012,Noda 2009,Nussbaum 2007,OBrien et al 2011,ODell 2011,Palfrey & Gasser 2008,Paine et al 2007,Peter & Valkenburg 2011,Schermelleh-Engel et al 2003,Steijn 2014,Steijn 2014,Steijn & Schouten 2013,Steijn & Vedder 2015,Steinberg L. 2008,Tufekci 2012,Vedder 2011,Wolak et al 2002,Xu et al 2013,Youn 2009,Youn & Hall 2008,Zukowski & Brown 2007"
2011	Stutzman et al	Factors mediating disclosure in social network sites	217	Facebook	122	US	"correlational, confirmatory"	"privacy attitudes,privacy behavior,privacy policy consumption,disclosure"	"Acquisti & Grossklags 2004,Acquisti & Gross 2006,Acquisti & Gross 2009,Adamic et al 2003,Ahern et al 2007,Altman 1975,Baym & Ledbetter 2009,Bonneau & Preibusch 2009,Boyd 2008,Derlega & Chaikin 1977,Dourish & Anderson 2006,Fogel & Nehmad 2009,Grigoriadis 2009,Herring 2003,Heerwegh & Loosveldt 2008,Hosmer & Lemeshow 2000,Iriberri & Leroy 2009,Jackson et al 2001,Jernigan & Mistree 2009,Lampinen et al 2009,Lewis et al 2008,McDonald et al 2009,Day et al 1998,Nissenbaum 2004,Nissenbaum 2010,Nov & Wattal 2009,Palfrey 2008,Petronio 2002,Thelwall 2008,Tufekci 2008"
2014	Taddicken	"The ‘Privacy Paradox’ in the Social Web: The Impact of Privacy Concerns, Individual Characteristics, and the Perceived Social Relevance on Different Forms of Self-Disclosure"	198	Generic	2739	Germany	"correlational, confirmatory"	"privacy concerns,general willingness,social relevance,number of applications,age,self-disclosure"	"Altman 1975,Barak & Gluck-Ofri 2007,Barnes 2006,Boyd 2008,Boyd & Hargittai 2010,Buss 2001,Cho & Hung 2011,Christofides et al 2009,Cong 2007,Derlega et al 1981,Dindia & Allen 1992,Ellison et al 2007,Ellison et al 2011,Fogel & Nehmad 2009,Haythornthwaite 2005,Herring et al 2005,Jianakoplos & Bernasek 1998,Lenhart & Fox 2006,Lenhart et al 2007,Lewin 1948,Lewis et al 2008,Livingstone 2008,Parker & Parrott 1995,Petronio 2002,Taddicken 2010,Taddicken 2012,RoutledgeThelwall 2008,Tufekci 2008,Wheeless & Grotz 1976,Yao et al 2007,Yao & Zhang 2008,Youn & Hall 2008"
2012	Torres	Social Networking and Online Privacy: Facebook Users' Perceptions	63	Facebook	285	Not specified	"descriptive, exploratory"	"age,information disclosure,privacy settings,privacy awareness,privacy behavior,trust attitudes,trust behavior"	"Gross 2006,Bilton 2010,Brustein 2010,Bell 2007,Johnston 2009,Fleming 2007,Passerini 2007,Evans 2008,Fletcher 2010,Gefen 2002,Pashley 2005,Acquisti 2005,Png 2007,Hesseldahl 2010,Kirk 2010,Koehn 2003,Turban 2001,Hansen 2008,Smith 2010,Lunt 2004,Neill 2009,Josang 2004,Robson 2002,Rosenblum 2007,Rothery 2010,Camerer 1998,Thornhill 2009,Blair 1998,Nemati 2007,Wortham 2010"
2003	Turow	Americans Online Privacy: The System Is Broken	106	None	1200	US	"descriptive, exploratory"	"internet activity,interest,expertise,privacy concern,understanding data flow,willingness to pay for privacy,privacy protection behaviors,attitudes on law effectiveness,attitudes on institutions,trust"	"Turow 2003, Rosen 2000, Brown & Blevins 2002, Swindle 2002, Litman 2000, Morochove 1999, Schwartz 2002,Gandy 2003,Westin 2003, Cranor et al 2003,Mack 2002,"
2009	Tuunainen et al	Users’ Awareness of Privacy on Online Social Networking Sites – Case Facebook	64	Facebook	210	Not specified	"descriptive, exploratory"	"personal information on facebook,privacy concern,privacy concern on facebook,visibility of profile information,privacy settings,sharing info with third parties"	"Acquisti & Gross 2006,Boyd 2004,Boyd & Ellison 2007,Brooks 2007,Clark 1996,Cranor et al 2006,Dinev & Hart 2006,Donath 2007,Dwyer 2007,Dwyer et al 2007,Goettke & Christiana 2007,Govani & Pashley 2005,Gross & Acquisti 2005,Jones & Soltren 2005,Kosta & Dumortier 2008,Lampe et al 2007,Lehtinen 2007,Tow et al 2008,Pitkanen 2006,Wellman & Kiesler 1997"
2011	Veltri et al	Online Disclosure and Privacy Concerns: A Study of Morroccan and American Facebook Users	18	Facebook	403	"Morocco,US"	"correlational, exploratory"	"expected benefits of sns participation,privacy concerns,perceived damage,perceived likelihood,control over personal information,awareness,trust in sns provider,trust in legal assurance,self-disclosure"	"Ali 1996,Belayachi 2010,Burcher 2010,Cao & Everard 2008,Chiu et al 2006,Dinev & Hart 2006,Doney et al 1998,Eldon 2010,Facebook 2010,Fukuyama 1995,Hofstede 2001,Jankari 2009,Kacen & Lee 2002,Klein & Kuperman 2008,Krasnova & Kolesnikova 2009,Krasnova & Kolesnikova 2010,Krasnova et al 2010,Krasnova & Veltri 2010,Lim et al 2004,Malin 2010,McKnight et al 2002,Mikulincer et al 1993,Milberg et al 2000,Morrison 2010,Nambisan & Baron 2007,Nydell 2006,Rabil & MacMillan 2010,Reichheld & Schefter 2000,Robertson et al 2002,Triandis & Suh 2002,Walther et al 2001,Xu et al 2010,Yousef 1974"
2011	Wills & Zeljkovic	"A Personalized Approach to Web Privacy—Awareness, Attitudes and Actions"	59	Multiple	1853	Not specified	"descriptive, exploratory"	"location,gender,age,visited sites,third-party sites,attitudes on tracking,actions on tracking"	"Eckersley 2010,Graeff & Harmon 2002,Janc & Olejnik 2010,Keizer 2008,Nolet 2008,Stieger et al 2007,Raskin 2009,Samuel & Zhang 2009,Turow et al 2009,Zukowski & Brown 2007"
2008	Xu et al	Examining the Formation of Individual's Privacy Concerns: Toward an Integrative View	224	Generic	823	US	experimental	"privacy awareness,privacy social norms,perceived effectiveness of privacy policy,perceived effectiveness of industry self-regulation,privacy risk,disposition to value privacy,privacy control,perception of intrusion,privacy concern"	"Acquisti & Grossklags 2005,Ajzen 1991,Altman 1975,Altman 1977,Bellman et al 2004,Budnitz 1998,Campbell & Fiske 1959,Cespedes 1993,Chellappa & Sin 2005,Chin 1998,Cook & Campbell 1979,Culnan 1993,Culnan & Armstrong 1999,Culnan & Bies 2003,Dinev et al 2006,Dinev & Hart 2004,Dinev & Hart 2005,Dinev & Hart 2006,Donaldson 1989,Donaldson & Dunfee 1994,Dunfee et al 1999,Edelman 2006,Etzioni 1999,Fornell & Bookstein 1982,Fusilier & Hoyer 1980,Ganesan 1994,Hall & Hall 1990,Havlena & DeSarbo 1991,Hofstede 1980,Hofstede 2003,Hui et al 2007,Jarvenpaa et al 2000,Kelvin 1973,Laufer & Wolfe 1977,Malhotra et al 2004,Margulis 1977,Mayer et al 1995,McKnight et al 2002,Metzger 2004,Metzger 2007,Milberg et al 2000,Milne & Culnan 2004,Morgan & Hunt 1994,Norberg et al 2007,Nowak 1995,Nunnally 1978,Patil & Kobsa 2005,Pavlou & Gefen 2004,Petronio 2002,Petronio 1991,Phelps et al 2000,Preston 2004,Prosser 1960,Rindfleisch 1997,Roberts et al 1971,Schoeman 1984,Sheehan & Hoy 2000,Slyke et al 2006,Smith et al 1996,Solove 2004,Solove 2006,Solove 2007,Stanton & Stam 2003,Stewart & Segars 2002,Swire et al 1997,Tolchinsky et al 1981,Venkatesh et al 2003,Wald 2004,Warren & Brandeis 1890,Westin 1967,Xu 2007,Xu & Teo 2004,Washington 2004,Xu et al 2005,Yates & Stone 1992,Zwick & Dholakia 2008"
2007	Yao et al	Predicting User Concerns About Online Privacy	173	None	414	US	"correlational, confirmatory"	"psychological need for privacy, belief in privacy rights,self-efficacy,internet use diversity,internet use experience,privacy concern"	"Bandura 1982,Bandura 1988,Bandura 1994,Bennett 1967,Bok 1984,Bunz 2004,Buss 2001,Cooley 1880,Fried 1970,Furash 1997,Harmon 2002,Halmos 1953,Peralta 1999,Ittelson et al 1974,Jerusalem & Schwarzer 1992,Jones 2002,Jourard 1966,Kehoe et al 1997,Klopfer & Rubenstein 1977,LaRose et al 2001,Laufer & Wolfe 1977,Bader 1970,Metzger 2004,Metzger & Docter 2003,Nowak & Phelps 1992,Neil 2001,Parke & Sawin 1979,Ferrel 2000,Rimm & Jerusalem 1999,Cifre & Llorens 2000,Sud & Schwarzer 2002,Schwarzer & Born 1997,Saito & Yue 1997,Schwarzer & Jerusalem 1995,Schwarzer et al 1999,McClure 1983,Viseu et al 2004,Warren & Brandeis 1890,Westin 1967,Wolfe & Laufer 1974,Schwarzer 1995"
2009	Youn	Determinants of Online Privacy Concern and Its Influence on Privacy Protection Behaviors Among Young Adolescents	263	Generic	144	US	"correlational, confirmatory"	"gender,internet use,persuasion knowledge,privacy knowledge,vulnerability to risks,info disclosure benefits,privacy self-efficacy,privacy concern,privacy protection behaviors"	"Amirkhan 1990,Ashworth & Free 2006,Bagnaschi & Geraci 2003,Baron & Kenny 1986,Bart et al 2005,Bearden et al 2001,Brown & Muchira 2004,Chester & Montgomery 2007,Dinev & Hart 2004,Dinev & Hart 2006,Dommeyer & Gross 2003,Eastin & LaRose 2000,Endler & Parker 1990,Espejo & Glaubke 2005,Floyd et al 2000,Gervey & Lin 2000,Goodwin 1991,Graeff & Harmon 2002,Grant 2005,Grant 2006,Herman-Stahl et al 1995,Hui et al 2007,Jordan et al 1982,Lanier & Saini 2008,LaRose & Rifon 2007,LaRose et al 2001,LaRose et al 2005,Lee 2000,Lee 2002,Lee & Larose 2004,Lee et al 2008,Lenhart 2005,Lenhart & Madden 2007,Lenhart et al 2005,Lenhart et al 2001,Liau et al 2005,Livingstone 2008,Lwin & Williams 2003,Lwin et al 2008,Lwin et al 2007,Maddux & Rogers 1983,Maddux et al 1986,Mangleburg & Bristol 1998,Mermelstein & Riesenberg 1992,Metzger 2004,Milne 2003,Milne & Boza 1999,Milne & Culnan 2004,Milne & Gordon 1993,Milne et al 2004,Miyazaki & Fernandez 2000,Miyazaki & Fernandez 2001,Moore 2004,Moscardelli & Divine 2007,Norberg et al 2007,Nowak & Phelps 1992,Pechmann et al 2003,Phelps et al 2001,Phelps et al 2000,Piko 2001,Rainie 2006,Raman & Pashupati 2004,Rifon et al 2005,Rifon et al 2007,Rogers 1975,Rogers 1983,Romer 2006,Sheehan 1999,Sheehan & Hoy 1999,Sheehan & Hoy 2000,Siponen et al 2007,Steeves 2006,Sturges & Rogers 1996,Subrahmanyam & Greenfield 2008,Tanner et al 1991,Turow 2001,Turow & Nir 2000,Ward et al 2005,Westin 1967,White 2004,Willard 2006,Wirth et al 2007,Wirtz et al 2007,Wolburg 2001,Wright et al 2005,Xie et al 2006,Yao et al 2008,Youn 2005"
2009	Young & Quan-Haase	Information Revelation and Internet Privacy Concerns on Social Network Sites: A Case Study of Facebook	358	Facebook	77	Canada	"correlational, confirmatory"	"information revelation,frequency of facebook use,personal network size,privacy concern,concern for unwanted audiences,profile visibility,privacy protection strategies"	"Gross 2006,Barnes 2006,boyd & Heer 2006,Jones & Soltren 2005,boyd 2008,Lampe et al 2006,DeCew 1997,Lampe et al 2007,Donath 2007,Fox et al 2000,Ritchie et al 2003,Sunden 2003,Goffman 1959,Goldie 2006,Tufekci 2008,Govani & Pashley 2005,Viseu et al 2004,Gross & Acquisti 2005,Westin 1972"
2015	Zlatolas et al	Privacy antecedents for SNS self-disclosure: The case of Facebook	59	Facebook	661	Slovenia	"correlational, confirmatory"	"privacy awareness,privacy social norms,privacy policy,privacy control,privacy value,privacy concern,self-disclosure"	"Acquisti & Gross 2006,Altman 1975,Altman 1977,Anderson & Stajano 2013,Hargittai 2010,Camacho et al 2012,Heo 2014,Chen 2013,Reinhardt et al 2013,Muise & Desmarais 2009,Cranor et al 2008,De et al 2014,Dinev & Hart 2004,Dinev & Hart 2006,Feng & Xie 2014,Fogel & Nehmad 2009,Gross & Acquisti 2005,Jagatic et al 2007,Jensen et al 2005,King et al 2011,Kolek & Saunders 2008,Krasnova et al 2009,Laufer & Wolfe 1977,Lee et al 2013,Lewis et al 2008,McKnight et al 2011,Nunnaly 1978,Paine et al 2007,Petronio 2002,Petronio & Durham 2014,Sahinoglu et al 2012,Segars & Grover 1993,Sheldon 2008,Staddon et al 2012,Stutzman et al 2011,Stutzman et al 2012,Taddei & Contena 2013,Dell & Venable 2010,Wu et al 2012,Xu et al 2008,Young & Quan-Haase 2009"
